# SYNTHETIC DATASET - GENERATED FOR ACADEMIC DEMONSTRATION ONLY
# This data does NOT represent official Chennai crime statistics.
# Generated by: Chennai Crime Pattern Analyzer (College Capstone Project)
# Fixed seed: 20240101 - Dataset is fully reproducible.
crime_id,date,time,year,month,day_of_week,hour,area,zone,crime_type,severity,latitude,longitude,description,case_status
CMA-000021,2020-12-10,01:13:52,2020,12,Thursday,1,Royapettah,Central,Theft,LOW,13.050293,80.265480,Petty theft reported near a commercial establishment,CLOSED
CMA-000022,2020-03-30,06:48:55,2020,3,Monday,6,Mogappair,North West,Burglary,HIGH,13.083731,80.179476,Residential burglary reported; entry through rear window,UNDER_INVESTIGATION
CMA-000023,2023-03-11,14:05:21,2023,3,Saturday,14,Kodambakkam,West Central,Vehicle Theft,LOW,13.049173,80.227260,Car theft reported from residential street,CLOSED
CMA-000024,2020-05-30,18:35:25,2020,5,Saturday,18,Pallavaram,South West,Robbery,MEDIUM,12.964919,80.151269,Robbery at ATM vicinity,UNDER_INVESTIGATION
CMA-000025,2021-05-05,07:08:33,2021,5,Wednesday,7,Ashok Nagar,Central,Theft,LOW,13.026776,80.209675,Pickpocketing reported at a busy market,CLOSED
CMA-000026,2020-03-18,20:14:33,2020,3,Wednesday,20,Vadapalani,West Central,Vehicle Theft,HIGH,13.046905,80.214220,Two-wheeler reported stolen from parking area,CLOSED
CMA-000027,2020-07-16,05:44:22,2020,7,Thursday,5,Anna Nagar,North,Theft,LOW,13.085132,80.209267,Pickpocketing reported at a busy market,CLOSED
CMA-000028,2022-09-15,21:30:02,2022,9,Thursday,21,Nungambakkam,Central,Assault,HIGH,13.060996,80.241197,Assault complaint registered outside residential area,CLOSED
CMA-000029,2021-09-30,18:11:48,2021,9,Thursday,18,Red Hills,North,Fraud,MEDIUM,13.188395,80.183272,Investment fraud complaint; victim lost savings,UNDER_INVESTIGATION
CMA-000030,2022-02-06,06:11:03,2022,2,Sunday,6,Tambaram,South West,Robbery,MEDIUM,12.923245,80.096038,Armed robbery at a small business,UNDER_INVESTIGATION
CMA-000031,2020-07-01,17:21:02,2020,7,Wednesday,17,Avadi,North West,Assault,MEDIUM,13.117009,80.099157,Physical altercation reported in public area,UNDER_INVESTIGATION
CMA-000032,2022-07-10,20:45:35,2022,7,Sunday,20,Avadi,North West,Cyber Crime,MEDIUM,13.115412,80.097970,Online banking fraud reported,CLOSED
CMA-000033,2024-07-07,18:50:36,2024,7,Sunday,18,Mogappair,North West,Assault,MEDIUM,13.083091,80.177078,Assault during a road-rage incident,CLOSED
CMA-000034,2023-09-07,01:44:02,2023,9,Thursday,1,Red Hills,North,Harassment,MEDIUM,13.183572,80.177360,Harassment complaint registered; offender fled,UNDER_INVESTIGATION
CMA-000035,2020-05-16,03:48:53,2020,5,Saturday,3,Saidapet,Central,Theft,MEDIUM,13.021722,80.224812,Pickpocketing reported at a busy market,CLOSED
CMA-000036,2022-11-23,04:16:21,2022,11,Wednesday,4,Sholinganallur,South East,Theft,MEDIUM,12.901138,80.231463,Shoplifting incident at a retail store,UNDER_INVESTIGATION
CMA-000037,2024-08-27,21:33:13,2024,8,Tuesday,21,Kodambakkam,West Central,Theft,LOW,13.052654,80.224922,Theft of personal belongings in a public area,UNDER_INVESTIGATION
CMA-000038,2023-05-29,23:27:56,2023,5,Monday,23,Nungambakkam,Central,Chain Snatching,MEDIUM,13.053293,80.239009,Chain snatching reported near temple premises,CLOSED
CMA-000039,2022-09-12,19:41:44,2022,9,Monday,19,Tambaram,South West,Theft,MEDIUM,12.925282,80.101332,Pickpocketing reported at a busy market,CLOSED
CMA-000040,2022-12-16,23:52:41,2022,12,Friday,23,Egmore,Central,Chain Snatching,MEDIUM,13.077826,80.256071,Chain snatching incident on busy street,CLOSED
CMA-000041,2020-02-04,17:12:49,2020,2,Tuesday,17,Guindy,Central,Cyber Crime,MEDIUM,13.007561,80.221777,Victim defrauded via phishing link,CLOSED
CMA-000042,2022-01-18,21:02:50,2022,1,Tuesday,21,Red Hills,North,Fraud,MEDIUM,13.184557,80.177397,Job offer scam reported,CLOSED
CMA-000043,2023-03-26,05:49:50,2023,3,Sunday,5,Sholinganallur,South East,Assault,LOW,12.901846,80.223244,Assault during a road-rage incident,UNDER_INVESTIGATION
CMA-000044,2023-02-23,20:22:05,2023,2,Thursday,20,Pallavaram,South West,Theft,MEDIUM,12.966293,80.150706,Pickpocketing reported at a busy market,CLOSED
CMA-000045,2023-05-19,17:27:30,2023,5,Friday,17,T Nagar,Central,Assault,HIGH,13.041444,80.234553,Physical altercation at a commercial venue,CLOSED
CMA-000046,2020-12-26,17:14:05,2020,12,Saturday,17,Sholinganallur,South East,Fraud,LOW,12.905843,80.232559,Investment fraud complaint; victim lost savings,UNDER_INVESTIGATION
CMA-000047,2022-09-02,02:31:10,2022,9,Friday,2,Mogappair,North West,Theft,MEDIUM,13.078003,80.182626,Petty theft reported near a commercial establishment,CLOSED
CMA-000048,2023-08-03,18:06:28,2023,8,Thursday,18,Velachery,South,Vandalism,LOW,12.982756,80.221882,Graffiti and damage reported at public park,CLOSED
CMA-000049,2023-08-31,18:34:21,2023,8,Thursday,18,Triplicane,Central,Chain Snatching,MEDIUM,13.061437,80.280883,Chain snatching incident on busy street,CLOSED
CMA-000050,2020-05-21,06:33:31,2020,5,Thursday,6,Perambur,North,Fraud,LOW,13.118791,80.236662,Cheating complaint filed against unknown person,CLOSED
CMA-000051,2023-06-15,16:33:53,2023,6,Thursday,16,Porur,West,Cyber Crime,MEDIUM,13.036412,80.161982,OTP-based fraud reported; victim lost funds,CLOSED
CMA-000052,2024-10-03,00:22:21,2024,10,Thursday,0,Saidapet,Central,Robbery,HIGH,13.019508,80.226243,Armed robbery at a small business,UNDER_INVESTIGATION
CMA-000053,2022-08-14,21:40:47,2022,8,Sunday,21,Red Hills,North,Vehicle Theft,LOW,13.192254,80.174663,Car theft reported from residential street,UNDER_INVESTIGATION
CMA-000054,2023-06-20,20:33:57,2023,6,Tuesday,20,Triplicane,Central,Theft,MEDIUM,13.063160,80.274206,Shoplifting incident at a retail store,CLOSED
CMA-000055,2020-04-13,06:04:43,2020,4,Monday,6,Red Hills,North,Fraud,LOW,13.188423,80.177694,Job offer scam reported,CLOSED
CMA-000056,2022-01-18,17:06:20,2022,1,Tuesday,17,T Nagar,Central,Fraud,LOW,13.037133,80.235923,Real-estate fraud complaint registered,CLOSED
CMA-000057,2021-11-26,20:49:14,2021,11,Friday,20,Kodambakkam,West Central,Fraud,LOW,13.051941,80.221248,Job offer scam reported,CLOSED
CMA-000058,2024-08-10,21:16:19,2024,8,Saturday,21,Saidapet,Central,Theft,HIGH,13.020319,80.222491,Theft of personal belongings in a public area,UNDER_INVESTIGATION
CMA-000059,2021-09-19,15:04:30,2021,9,Sunday,15,Nungambakkam,Central,Fraud,HIGH,13.054660,80.244432,Cheating complaint filed against unknown person,CLOSED
CMA-000060,2024-01-13,22:13:46,2024,1,Saturday,22,Ashok Nagar,Central,Vehicle Theft,MEDIUM,13.025481,80.210564,Vehicle stolen from commercial parking lot,CLOSED
CMA-000061,2020-05-07,18:30:11,2020,5,Thursday,18,Royapettah,Central,Chain Snatching,LOW,13.050323,80.265165,Gold chain snatched by two-wheeler-borne persons,CLOSED
CMA-000062,2021-12-02,21:18:48,2021,12,Thursday,21,Anna Nagar,North,Vehicle Theft,LOW,13.089632,80.206007,Two-wheeler reported stolen from parking area,CLOSED
CMA-000063,2023-06-01,10:02:44,2023,6,Thursday,10,Pallavaram,South West,Theft,MEDIUM,12.972297,80.146772,Petty theft reported near a commercial establishment,CLOSED
CMA-000064,2023-02-06,20:15:56,2023,2,Monday,20,Adyar,South,Burglary,MEDIUM,12.997520,80.253667,Office premises burglarised overnight,UNDER_INVESTIGATION
CMA-000065,2020-09-12,09:09:32,2020,9,Saturday,9,Anna Nagar,North,Theft,MEDIUM,13.086151,80.207818,Theft of personal belongings in a public area,CLOSED
CMA-000066,2022-05-01,17:18:01,2022,5,Sunday,17,T Nagar,Central,Robbery,HIGH,13.037393,80.234614,Robbery at ATM vicinity,CLOSED
CMA-000067,2022-01-07,19:41:04,2022,1,Friday,19,Royapettah,Central,Burglary,LOW,13.050702,80.260116,Residential burglary reported; entry through rear window,CLOSED
CMA-000068,2021-01-01,23:18:18,2021,1,Friday,23,Egmore,Central,Vehicle Theft,HIGH,13.073047,80.264942,Motorcycle stolen during market visit,CLOSED
CMA-000069,2020-11-03,21:19:38,2020,11,Tuesday,21,Ambattur,North West,Burglary,HIGH,13.114604,80.158357,Office premises burglarised overnight,UNDER_INVESTIGATION
CMA-000070,2020-09-07,21:42:42,2020,9,Monday,21,Triplicane,Central,Robbery,MEDIUM,13.058289,80.273061,Armed robbery at a small business,UNDER_INVESTIGATION
CMA-000071,2024-04-01,10:06:59,2024,4,Monday,10,Sholinganallur,South East,Vehicle Theft,MEDIUM,12.896045,80.232713,Car theft reported from residential street,UNDER_INVESTIGATION
CMA-000072,2022-05-03,18:56:19,2022,5,Tuesday,18,Porur,West,Harassment,MEDIUM,13.034467,80.152531,Harassment incident near public transport stop,CLOSED
CMA-000073,2020-07-04,20:45:55,2020,7,Saturday,20,Porur,West,Theft,HIGH,13.032451,80.154803,Shoplifting incident at a retail store,CLOSED
CMA-000074,2022-03-18,02:23:26,2022,3,Friday,2,Perambur,North,Vehicle Theft,LOW,13.118348,80.230859,Motorcycle stolen during market visit,CLOSED
CMA-000075,2023-08-30,19:53:26,2023,8,Wednesday,19,Velachery,South,Cyber Crime,HIGH,12.976988,80.222226,Social media impersonation complaint,CLOSED
CMA-000076,2020-08-16,17:21:58,2020,8,Sunday,17,Ambattur,North West,Assault,HIGH,13.114543,80.150784,Physical altercation reported in public area,UNDER_INVESTIGATION
CMA-000077,2023-10-31,19:45:00,2023,10,Tuesday,19,Avadi,North West,Burglary,MEDIUM,13.112499,80.100903,House break-in reported; valuables stolen,UNDER_INVESTIGATION
CMA-000078,2020-04-17,18:47:01,2020,4,Friday,18,T Nagar,Central,Cyber Crime,MEDIUM,13.036917,80.229880,OTP-based fraud reported; victim lost funds,CLOSED
CMA-000079,2023-07-18,01:30:09,2023,7,Tuesday,1,Triplicane,Central,Fraud,MEDIUM,13.056377,80.273296,Job offer scam reported,CLOSED
CMA-000080,2024-08-25,20:02:16,2024,8,Sunday,20,T Nagar,Central,Chain Snatching,HIGH,13.041119,80.230015,Chain snatching reported near temple premises,CLOSED
CMA-000081,2022-12-23,20:51:26,2022,12,Friday,20,Sholinganallur,South East,Theft,MEDIUM,12.900798,80.225247,Pickpocketing reported at a busy market,UNDER_INVESTIGATION
CMA-000082,2021-03-19,11:20:28,2021,3,Friday,11,Ashok Nagar,Central,Vehicle Theft,MEDIUM,13.026885,80.215812,Motorcycle stolen during market visit,CLOSED
CMA-000083,2023-01-11,15:57:08,2023,1,Wednesday,15,Triplicane,Central,Burglary,MEDIUM,13.054727,80.277305,House break-in reported; valuables stolen,UNDER_INVESTIGATION
CMA-000084,2020-12-28,03:31:28,2020,12,Monday,3,Chromepet,South West,Cyber Crime,LOW,12.954434,80.147361,OTP-based fraud reported; victim lost funds,CLOSED
CMA-000085,2023-06-09,10:40:51,2023,6,Friday,10,Mogappair,North West,Cyber Crime,HIGH,13.086348,80.180759,Victim defrauded via phishing link,CLOSED
CMA-000086,2020-11-05,16:58:58,2020,11,Thursday,16,Mylapore,Central,Robbery,MEDIUM,13.036716,80.268113,Robbery at ATM vicinity,CLOSED
CMA-000087,2020-11-19,18:07:40,2020,11,Thursday,18,Velachery,South,Cyber Crime,HIGH,12.983000,80.216183,Social media impersonation complaint,CLOSED
CMA-000088,2022-09-02,01:15:17,2022,9,Friday,1,Anna Nagar,North,Burglary,MEDIUM,13.081877,80.205786,Commercial premises broken into during non-business hours,UNDER_INVESTIGATION
CMA-000089,2020-11-14,17:31:32,2020,11,Saturday,17,Velachery,South,Theft,HIGH,12.985397,80.216123,Pickpocketing reported at a busy market,CLOSED
CMA-000090,2021-02-17,15:33:20,2021,2,Wednesday,15,Porur,West,Assault,MEDIUM,13.040690,80.159346,Physical altercation reported in public area,CLOSED
CMA-000091,2021-05-21,09:07:49,2021,5,Friday,9,Velachery,South,Robbery,HIGH,12.984114,80.215012,Street robbery reported; victim confronted by perpetrators,UNDER_INVESTIGATION
CMA-000092,2020-10-05,09:27:36,2020,10,Monday,9,Adyar,South,Cyber Crime,LOW,12.998924,80.253657,Social media impersonation complaint,UNDER_INVESTIGATION
CMA-000093,2020-07-20,17:55:35,2020,7,Monday,17,Tambaram,South West,Vehicle Theft,LOW,12.920634,80.098710,Two-wheeler reported stolen from parking area,CLOSED
CMA-000094,2022-11-13,11:50:05,2022,11,Sunday,11,Adyar,South,Assault,MEDIUM,12.999514,80.255079,Assault during a road-rage incident,CLOSED
CMA-000095,2024-07-29,15:27:40,2024,7,Monday,15,Egmore,Central,Vehicle Theft,MEDIUM,13.073779,80.258085,Motorcycle stolen during market visit,UNDER_INVESTIGATION
CMA-000096,2022-09-08,08:52:19,2022,9,Thursday,8,Sholinganallur,South East,Theft,LOW,12.904733,80.226482,Petty theft reported near a commercial establishment,CLOSED
CMA-000097,2020-02-27,17:51:50,2020,2,Thursday,17,Chromepet,South West,Chain Snatching,MEDIUM,12.950129,80.139651,Gold chain snatched by two-wheeler-borne persons,CLOSED
CMA-000098,2023-01-07,13:02:41,2023,1,Saturday,13,Mylapore,Central,Assault,LOW,13.038427,80.267023,Physical altercation at a commercial venue,CLOSED
CMA-000099,2023-12-29,02:53:45,2023,12,Friday,2,Perambur,North,Robbery,HIGH,13.110904,80.236078,Street robbery reported; victim confronted by perpetrators,CLOSED
CMA-000100,2022-04-07,17:22:10,2022,4,Thursday,17,Egmore,Central,Vehicle Theft,MEDIUM,13.072625,80.264788,Motorcycle stolen during market visit,CLOSED
CMA-000101,2021-12-07,20:58:53,2021,12,Tuesday,20,Thoraipakkam,South East,Robbery,LOW,12.929369,80.224559,Robbery at ATM vicinity,UNDER_INVESTIGATION
CMA-000102,2022-07-27,20:22:27,2022,7,Wednesday,20,Thoraipakkam,South East,Cyber Crime,LOW,12.927894,80.224776,OTP-based fraud reported; victim lost funds,CLOSED
CMA-000103,2024-03-20,04:43:57,2024,3,Wednesday,4,Pallavaram,South West,Vehicle Theft,MEDIUM,12.963446,80.149151,Vehicle stolen from commercial parking lot,UNDER_INVESTIGATION
CMA-000104,2023-02-13,20:30:18,2023,2,Monday,20,Mylapore,Central,Vehicle Theft,MEDIUM,13.038765,80.270850,Two-wheeler reported stolen from parking area,UNDER_INVESTIGATION
CMA-000105,2022-12-12,22:04:02,2022,12,Monday,22,Vadapalani,West Central,Theft,LOW,13.045716,80.215734,Theft of personal belongings in a public area,CLOSED
CMA-000106,2020-11-10,00:42:21,2020,11,Tuesday,0,Egmore,Central,Chain Snatching,HIGH,13.073219,80.263603,Victim's necklace snatched at roadside,CLOSED
CMA-000107,2021-01-25,22:00:48,2021,1,Monday,22,Porur,West,Vehicle Theft,LOW,13.033062,80.155504,Two-wheeler reported stolen from parking area,CLOSED
CMA-000108,2020-05-31,22:10:09,2020,5,Sunday,22,Triplicane,Central,Theft,LOW,13.061237,80.276528,Petty theft reported near a commercial establishment,UNDER_INVESTIGATION
CMA-000109,2022-03-07,23:20:18,2022,3,Monday,23,Ashok Nagar,Central,Vandalism,MEDIUM,13.026435,80.217850,Vehicle windshield damaged in parking area,CLOSED
CMA-000110,2023-12-31,21:45:22,2023,12,Sunday,21,Adyar,South,Theft,LOW,13.004122,80.259739,Shoplifting incident at a retail store,CLOSED
CMA-000111,2023-02-17,16:45:07,2023,2,Friday,16,Ambattur,North West,Vandalism,LOW,13.112568,80.158820,Graffiti and damage reported at public park,CLOSED
CMA-000112,2022-03-30,19:08:51,2022,3,Wednesday,19,Guindy,Central,Vehicle Theft,LOW,13.007410,80.216098,Two-wheeler reported stolen from parking area,UNDER_INVESTIGATION
CMA-000113,2020-02-19,20:45:20,2020,2,Wednesday,20,Vadapalani,West Central,Burglary,MEDIUM,13.047770,80.213534,Commercial premises broken into during non-business hours,UNDER_INVESTIGATION
CMA-000114,2020-03-15,18:39:14,2020,3,Sunday,18,Kodambakkam,West Central,Theft,LOW,13.056873,80.221567,Shoplifting incident at a retail store,UNDER_INVESTIGATION
CMA-000115,2023-06-01,18:49:17,2023,6,Thursday,18,Ambattur,North West,Assault,MEDIUM,13.117356,80.153208,Assault during a road-rage incident,UNDER_INVESTIGATION
CMA-000116,2020-02-08,19:11:33,2020,2,Saturday,19,Nungambakkam,Central,Assault,LOW,13.055991,80.246278,Assault during a road-rage incident,CLOSED
CMA-000117,2022-02-14,02:26:16,2022,2,Monday,2,Chromepet,South West,Assault,MEDIUM,12.955536,80.148143,Assault during a road-rage incident,CLOSED
CMA-000118,2020-03-29,17:33:00,2020,3,Sunday,17,Anna Nagar,North,Vehicle Theft,MEDIUM,13.085156,80.208211,Two-wheeler reported stolen from parking area,CLOSED
CMA-000119,2024-07-09,19:10:24,2024,7,Tuesday,19,Triplicane,Central,Cyber Crime,MEDIUM,13.054639,80.275056,Social media impersonation complaint,UNDER_INVESTIGATION
CMA-000120,2022-04-13,03:02:31,2022,4,Wednesday,3,Perambur,North,Burglary,MEDIUM,13.112215,80.231245,Residential burglary reported; entry through rear window,CLOSED
CMA-000121,2021-05-07,01:46:04,2021,5,Friday,1,Tambaram,South West,Cyber Crime,LOW,12.921423,80.099979,Victim defrauded via phishing link,CLOSED
CMA-000122,2024-07-03,17:40:22,2024,7,Wednesday,17,Ashok Nagar,Central,Fraud,HIGH,13.028342,80.214877,Investment fraud complaint; victim lost savings,CLOSED
CMA-000123,2021-08-15,19:46:15,2021,8,Sunday,19,Mylapore,Central,Fraud,MEDIUM,13.038111,80.272169,Job offer scam reported,CLOSED
CMA-000124,2020-10-13,14:52:09,2020,10,Tuesday,14,Triplicane,Central,Theft,LOW,13.054805,80.274235,Petty theft reported near a commercial establishment,CLOSED
CMA-000125,2022-09-27,07:17:13,2022,9,Tuesday,7,Perambur,North,Harassment,MEDIUM,13.109742,80.235927,Stalking and harassment complaint filed,CLOSED
CMA-000126,2020-08-12,01:54:17,2020,8,Wednesday,1,Adyar,South,Robbery,LOW,13.000916,80.254791,Armed robbery at a small business,UNDER_INVESTIGATION
CMA-000127,2024-09-04,16:43:16,2024,9,Wednesday,16,Adyar,South,Assault,HIGH,12.996813,80.255505,Physical altercation at a commercial venue,CLOSED
CMA-000128,2021-06-01,03:47:36,2021,6,Tuesday,3,Triplicane,Central,Chain Snatching,MEDIUM,13.060567,80.281190,Gold chain snatched by two-wheeler-borne persons,UNDER_INVESTIGATION
CMA-000129,2022-10-08,18:22:01,2022,10,Saturday,18,Sholinganallur,South East,Theft,LOW,12.903572,80.232513,Theft of personal belongings in a public area,CLOSED
CMA-000130,2020-09-13,08:17:36,2020,9,Sunday,8,Chromepet,South West,Robbery,MEDIUM,12.953493,80.140282,Street robbery reported; victim confronted by perpetrators,CLOSED
CMA-000131,2022-05-11,02:21:26,2022,5,Wednesday,2,Ambattur,North West,Theft,LOW,13.116783,80.156589,Shoplifting incident at a retail store,CLOSED
CMA-000132,2022-04-21,08:54:28,2022,4,Thursday,8,Chromepet,South West,Robbery,HIGH,12.956021,80.141191,Armed robbery at a small business,CLOSED
CMA-000133,2024-11-03,02:55:36,2024,11,Sunday,2,Avadi,North West,Vehicle Theft,MEDIUM,13.114478,80.097911,Two-wheeler reported stolen from parking area,UNDER_INVESTIGATION
CMA-000134,2021-10-20,20:47:05,2021,10,Wednesday,20,Nungambakkam,Central,Vehicle Theft,LOW,13.061090,80.237633,Car theft reported from residential street,CLOSED
CMA-000135,2022-07-07,21:59:35,2022,7,Thursday,21,Nungambakkam,Central,Cyber Crime,MEDIUM,13.061550,80.243894,Online banking fraud reported,CLOSED
CMA-000136,2023-07-24,20:51:00,2023,7,Monday,20,Pallavaram,South West,Theft,LOW,12.965217,80.144452,Petty theft reported near a commercial establishment,CLOSED
CMA-000137,2021-10-13,21:53:50,2021,10,Wednesday,21,Egmore,Central,Fraud,MEDIUM,13.070337,80.262691,Job offer scam reported,UNDER_INVESTIGATION
CMA-000138,2020-03-10,19:12:49,2020,3,Tuesday,19,T Nagar,Central,Theft,LOW,13.043678,80.230598,Shoplifting incident at a retail store,UNDER_INVESTIGATION
CMA-000139,2022-01-05,06:18:10,2022,1,Wednesday,6,Thoraipakkam,South East,Theft,MEDIUM,12.924783,80.233507,Theft of personal belongings in a public area,CLOSED
CMA-000140,2021-02-19,20:50:30,2021,2,Friday,20,Mylapore,Central,Cyber Crime,LOW,13.039158,80.269304,Online banking fraud reported,CLOSED
CMA-000141,2021-12-28,21:18:18,2021,12,Tuesday,21,Red Hills,North,Fraud,LOW,13.185240,80.183145,Real-estate fraud complaint registered,CLOSED
CMA-000142,2021-12-07,19:28:39,2021,12,Tuesday,19,Perambur,North,Fraud,LOW,13.109462,80.233356,Real-estate fraud complaint registered,CLOSED
CMA-000143,2021-05-05,00:51:32,2021,5,Wednesday,0,Perambur,North,Vehicle Theft,MEDIUM,13.111680,80.229414,Two-wheeler reported stolen from parking area,CLOSED
CMA-000144,2020-10-20,20:13:03,2020,10,Tuesday,20,Vadapalani,West Central,Burglary,LOW,13.052388,80.216713,Residential burglary reported; entry through rear window,CLOSED
CMA-000145,2023-07-26,07:09:32,2023,7,Wednesday,7,Guindy,Central,Chain Snatching,LOW,13.009765,80.216819,Chain snatching reported near temple premises,CLOSED
CMA-000146,2020-02-10,21:59:44,2020,2,Monday,21,Red Hills,North,Fraud,MEDIUM,13.189359,80.183471,Job offer scam reported,UNDER_INVESTIGATION
CMA-000147,2020-08-29,20:21:41,2020,8,Saturday,20,Egmore,Central,Fraud,MEDIUM,13.077001,80.262986,Cheating complaint filed against unknown person,CLOSED
CMA-000148,2020-09-10,20:14:24,2020,9,Thursday,20,Mylapore,Central,Theft,MEDIUM,13.037058,80.267597,Theft of personal belongings in a public area,UNDER_INVESTIGATION
CMA-000149,2021-12-05,07:26:38,2021,12,Sunday,7,Triplicane,Central,Theft,MEDIUM,13.057492,80.280837,Shoplifting incident at a retail store,CLOSED
CMA-000150,2021-04-04,01:47:18,2021,4,Sunday,1,Mylapore,Central,Theft,LOW,13.039639,80.264341,Pickpocketing reported at a busy market,CLOSED
CMA-000151,2020-04-27,22:20:23,2020,4,Monday,22,Porur,West,Vehicle Theft,MEDIUM,13.036278,80.153299,Vehicle stolen from commercial parking lot,CLOSED
CMA-000152,2020-02-26,19:25:12,2020,2,Wednesday,19,Kodambakkam,West Central,Vehicle Theft,MEDIUM,13.048588,80.226721,Motorcycle stolen during market visit,UNDER_INVESTIGATION
CMA-000153,2023-10-29,14:47:57,2023,10,Sunday,14,Porur,West,Burglary,LOW,13.037092,80.155657,House break-in reported; valuables stolen,CLOSED
CMA-000154,2023-05-16,01:23:19,2023,5,Tuesday,1,Mylapore,Central,Theft,LOW,13.040206,80.265741,Pickpocketing reported at a busy market,UNDER_INVESTIGATION
CMA-000155,2021-11-24,22:25:44,2021,11,Wednesday,22,Vadapalani,West Central,Cyber Crime,HIGH,13.051174,80.215014,Social media impersonation complaint,CLOSED
CMA-000156,2021-02-19,02:44:31,2021,2,Friday,2,Egmore,Central,Cyber Crime,LOW,13.077663,80.256003,Social media impersonation complaint,UNDER_INVESTIGATION
CMA-000157,2021-09-30,20:09:15,2021,9,Thursday,20,Perambur,North,Theft,HIGH,13.111417,80.231114,Shoplifting incident at a retail store,CLOSED
CMA-000158,2020-04-02,10:47:06,2020,4,Thursday,10,Ashok Nagar,Central,Theft,LOW,13.028552,80.215471,Theft of personal belongings in a public area,CLOSED
CMA-000159,2023-12-27,17:24:07,2023,12,Wednesday,17,Tambaram,South West,Fraud,LOW,12.926527,80.101957,Investment fraud complaint; victim lost savings,CLOSED
CMA-000160,2022-09-02,19:49:39,2022,9,Friday,19,Egmore,Central,Vehicle Theft,LOW,13.071915,80.262281,Car theft reported from residential street,CLOSED
